decomp_temp,pyrol_temp,gasifier_temp,air_to_biomass_ratio,gasifier_length,gasifier_diameter,fuel_cell_temp,Acell,fuel_utilization_factor,depleted_fuel_frac,Power,CO2_emitted,H2_produced,current_density,cell_current
496.0,620.0,886.0,0.64,1.04,0.53,998.52,0.39115,0.53,0.21,1546.1043504837955,1560.31938,75.412525,2958.8984410580765,1157.3731252198666
400.0,604.0,893.0,0.95,1.22,1.13,971.71,0.28577,0.77,0.33,1489.9577439030463,1382.25206,71.7113451,4732.090186761802,1352.2894126709205
466.0,612.0,713.0,0.95,1.29,1.58,858.4000000000001,0.37355,0.93,0.26,1620.0964118514812,1425.17005,71.7243026,4974.044212490087,1858.054215575672
535.0,676.0,758.0,0.94,2.08,1.75,858.3699999999999,0.29175,0.69,0.29,1364.2846079479707,2539.19704,91.9712336,6505.224560756107,1897.8992656005944
525.0,663.0,840.0,0.79,1.3,1.3,993.55,0.26537,0.66,0.27,1749.531950031341,2296.07388,88.8351955,6418.118087546948,1703.1759968923336
559.0,692.0,803.0,0.74,2.57,1.17,881.8800000000001,0.33588,0.88,0.32,1721.0708858472312,2877.63458,96.6110816,6126.787198631742,2057.8652842764295
492.0,683.0,900.0,0.88,1.68,1.23,891.54,0.34611,0.78,0.15,1806.530624556993,2716.68698,95.6981711,5921.373179315664,2049.446471092944
473.0,664.0,830.0,0.84,2.35,1.95,899.2,0.37776,0.99,0.25,1743.319101859811,2347.15036,89.5660584,4728.050307084922,1786.0682840044
537.0,645.0,721.0,0.78,1.71,1.19,947.8900000000001,0.38317,0.54,0.38,1671.4547299783374,1922.77502,81.8327773,3643.3672572041132,1396.0290319429
435.0,641.0,821.0,0.79,1.95,0.71,877.8,0.32851,0.99,0.13,1776.7326736210323,1880.16684,81.5559175,7509.3968921024725,2466.9119730245834
536.0,674.0,825.0,0.64,1.36,1.93,976.6500000000001,0.33954,0.77,0.13,1651.22870417615,2520.92169,91.9492877,4096.532087235988,1390.9365049001074
570.0,648.0,757.0,1.0,2.94,0.57,959.97,0.3151,0.61,0.28,1374.1537567619928,1972.12337,82.6013151,3833.44155037375,1207.9174325227686
478.0,615.0,743.0,0.84,1.93,0.89,931.54,0.26608,0.69,0.24,1457.6464104611105,1465.16224,72.6574726,6082.296835699582,1618.3775420429445
548.0,646.0,716.0,0.71,1.22,0.84,877.6099999999999,0.38457,0.52,0.18,1393.7623918272318,1929.27521,81.7389898,3298.673395473482,1268.570827697237
482.0,684.0,734.0,0.82,1.19,0.5,903.3499999999999,0.35716,0.82,0.19,1679.2674531537907,2652.44487,92.5526416,4649.95755383731,1660.7788399285334
511.0,679.0,731.0,0.75,2.64,1.63,893.75,0.32751,0.59,0.31,1185.70545084125,2590.2039,92.5567303,3414.7431534436882,1118.3625301843424
438.0,666.0,727.0,0.74,1.44,0.63,862.4200000000001,0.32062,0.5,0.25,1146.1453946502133,2295.27386,87.5927859,3828.781248047186,1227.583843748889
414.0,654.0,758.0,0.71,1.75,0.74,881.6400000000001,0.33953,0.68,0.35,1363.9496579308566,2080.90181,84.4801984,4249.223891857961,1442.7389880025335
